ANIO,COD_DPTO,NOM_DPTO,NOM_MUSEO,COD_MES,NOM_MES,COD_TIPO,NOM_TIPO,ADU_BOLESPPAGANTES,EST_BOLESPPAGANTES,NIN_BOLESPPAGANTES,MIL_BOLESPPAGANTES,ADM_BOLESPPAGANTES,ADU_PAGANTES,EST_PAGANTES,NIN_PAGANTES,TOTAL_PAGANTES,ADU_BOLESPNOPAGANTES,EST_BOLESPNOPAGANTES,NIN_BOLESPNOPAGANTES,MIL_BOLESPNOPAGANTES,ADM_BOLESPNOPAGANTES,ADU_NOPAGANTES,EST_NOPAGANTES,NIN_NOPAGANTES,TOTAL_NOPAGANTES,TOTAL,FECHA,ADULTOS,ADULTO_MAYOR,ESTUDIANTE,NIÑOS,MILITAR,IDMUSEO
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,4,Abril,0,Nacionales,0,0,0,0,0,25,33,14,72,0,0,0,0,0,0,0,0,0,72,2013-04-01,25,0,33,14,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,4,Abril,1,Extranjeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-04-01,0,0,0,0,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,5,Mayo,0,Nacionales,0,0,0,0,0,27,57,88,172,0,0,0,0,0,29,66,12,107,279,2013-05-01,56,0,123,100,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,5,Mayo,1,Extranjeros,0,0,0,0,0,5,3,0,8,0,0,0,0,0,7,0,0,7,15,2013-05-01,12,0,3,0,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,6,Junio,0,Nacionales,0,0,0,0,0,13,11,10,34,0,0,0,0,0,0,0,0,0,34,2013-06-01,13,0,11,10,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,6,Junio,1,Extranjeros,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,0,0,0,8,2013-06-01,4,0,4,0,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,7,Julio,0,Nacionales,0,0,0,0,0,19,10,24,53,0,0,0,0,0,0,0,0,0,53,2013-07-01,19,0,10,24,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,7,Julio,1,Extranjeros,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,2013-07-01,0,0,3,0,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,8,Agosto,0,Nacionales,0,0,0,0,0,41,39,77,157,0,0,0,0,0,0,0,0,0,157,2013-08-01,41,0,39,77,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,8,Agosto,1,Extranjeros,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,6,2013-08-01,3,0,3,0,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,9,Setiembre,0,Nacionales,0,0,0,0,0,11,19,174,204,0,0,0,0,0,0,0,0,0,204,2013-09-01,11,0,19,174,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,9,Setiembre,1,Extranjeros,0,0,0,0,0,9,3,1,13,0,0,0,0,0,0,0,0,0,13,2013-09-01,9,0,3,1,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,10,Octubre,0,Nacionales,0,0,0,0,0,91,46,159,296,0,0,0,0,0,0,0,0,0,296,2013-10-01,91,0,46,159,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,10,Octubre,1,Extranjeros,0,0,0,0,0,6,2,0,8,0,0,0,0,0,0,0,0,0,8,2013-10-01,6,0,2,0,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,11,Noviembre,0,Nacionales,0,0,0,0,0,27,78,290,395,0,0,0,0,0,0,0,0,0,395,2013-11-01,27,0,78,290,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,11,Noviembre,1,Extranjeros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-11-01,0,0,0,0,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,12,Diciembre,0,Nacionales,0,0,0,0,0,12,62,0,74,0,0,0,0,0,0,0,0,0,74,2013-12-01,12,0,62,0,0,56
2013,20,Piura,Sala de Oro del Museo Municipal Vicus,12,Diciembre,1,Extranjeros,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2013-12-01,0,0,1,0,0,56
2013,21,Puno,"Templo Museo ""San Juan de Letran""",1,Enero,0,Nacionales,0,0,0,0,0,57,50,3,110,0,0,0,0,0,0,0,0,0,110,2013-01-01,57,0,50,3,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",1,Enero,1,Extranjeros,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,27,2013-01-01,27,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",2,Febrero,0,Nacionales,0,0,0,0,0,133,37,11,181,0,0,0,0,0,0,0,0,0,181,2013-02-01,133,0,37,11,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",2,Febrero,1,Extranjeros,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,20,2013-02-01,20,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",3,Marzo,0,Nacionales,0,0,0,0,0,62,10,0,72,0,0,0,0,0,0,0,0,0,72,2013-03-01,62,0,10,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",3,Marzo,1,Extranjeros,0,0,0,0,0,60,0,0,60,0,0,0,0,0,0,0,0,0,60,2013-03-01,60,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",4,Abril,0,Nacionales,0,0,0,0,0,50,3,2,55,0,0,0,0,0,0,0,0,0,55,2013-04-01,50,0,3,2,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",4,Abril,1,Extranjeros,0,0,0,0,0,82,0,0,82,0,0,0,0,0,0,0,0,0,82,2013-04-01,82,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",5,Mayo,0,Nacionales,0,0,0,0,0,45,4,9,58,0,0,0,0,0,24,10,8,42,100,2013-05-01,69,0,14,17,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",5,Mayo,1,Extranjeros,0,0,0,0,0,81,0,0,81,0,0,0,0,0,0,0,0,0,81,2013-05-01,81,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",6,Junio,0,Nacionales,0,0,0,0,0,74,19,21,114,0,0,0,0,0,0,0,0,0,114,2013-06-01,74,0,19,21,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",6,Junio,1,Extranjeros,0,0,0,0,0,70,0,0,70,0,0,0,0,0,0,0,0,0,70,2013-06-01,70,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",7,Julio,0,Nacionales,0,0,0,0,0,84,15,2,101,0,0,0,0,0,20,3,0,23,124,2013-07-01,104,0,18,2,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",7,Julio,1,Extranjeros,0,0,0,0,0,105,0,0,105,0,0,0,0,0,13,0,0,13,118,2013-07-01,118,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",8,Agosto,0,Nacionales,0,0,0,0,0,122,28,38,188,0,0,0,0,0,0,0,0,0,188,2013-08-01,122,0,28,38,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",8,Agosto,1,Extranjeros,0,0,0,0,0,97,0,0,97,0,0,0,0,0,0,0,0,0,97,2013-08-01,97,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",9,Setiembre,0,Nacionales,0,0,0,0,0,62,55,41,158,0,0,0,0,0,0,0,0,0,158,2013-09-01,62,0,55,41,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",9,Setiembre,1,Extranjeros,0,0,0,0,0,86,0,0,86,0,0,0,0,0,0,0,0,0,86,2013-09-01,86,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",10,Octubre,0,Nacionales,0,0,0,0,0,86,24,185,295,0,0,0,0,0,66,0,0,66,361,2013-10-01,152,0,24,185,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",10,Octubre,1,Extranjeros,0,0,0,0,0,139,0,0,139,0,0,0,0,0,33,0,0,33,172,2013-10-01,172,0,0,0,0,58
2013,21,Puno,"Templo Museo ""San Juan de Letran""",11,Noviembre,0,Nacionales,0,0,0,0,0,67,19,112,198,0,0,0,0,0,0,0,0,0,198,2013-11-01,67,0,19,112,0,58
